teaching_frame,source_frame,time_s,n_detected,polarisation,rotation,published_state_rule
0,2701,0.0,173,0.331206795833171,0.14672726237136263,swarm
1,2706,0.16666666666666666,173,0.4320449342158544,0.17309575513656228,transition
2,2711,0.3333333333333333,175,0.43864399747952687,0.1425623135525765,transition
3,2716,0.5,184,0.31919513596755755,0.2391358223061101,swarm
4,2721,0.6666666666666666,193,0.4258367076778095,0.12213195667268407,transition
5,2726,0.8333333333333334,189,0.42686219311440676,0.18637509831451254,transition
6,2731,1.0,193,0.350600856723587,0.17786739437174948,transition
7,2736,1.1666666666666667,194,0.4054621691862315,0.14717433902921606,transition
8,2741,1.3333333333333333,190,0.5082921162807239,0.1964016105864649,transition
9,2746,1.5,186,0.44502756350438283,0.21062712892385366,transition
10,2751,1.6666666666666667,189,0.5196712279056479,0.24508121614377507,transition
11,2756,1.8333333333333333,197,0.5416759331918389,0.26712735456918146,transition
12,2761,2.0,194,0.5150454834421194,0.2104450676674124,transition
13,2766,2.1666666666666665,203,0.4487919210116786,0.18072347079337375,transition
14,2771,2.3333333333333335,203,0.5585152351553363,0.23088794726708609,transition
15,2776,2.5,203,0.5407263862083376,0.2256711964766197,transition
16,2781,2.6666666666666665,207,0.5665157251003948,0.21980717402567715,transition
17,2786,2.8333333333333335,221,0.55283498869632,0.25627218055282325,transition
18,2791,3.0,234,0.5544035911384602,0.26372011052405775,transition
19,2796,3.1666666666666665,235,0.5999965947594832,0.2570958865197705,transition
20,2801,3.3333333333333335,233,0.5362311079473309,0.26324117203792347,transition
21,2806,3.5,242,0.5638546525977377,0.3286358696044675,transition
22,2811,3.6666666666666665,248,0.5933844728245391,0.28662341571870753,transition
23,2816,3.8333333333333335,251,0.6635022290662855,0.324716595545752,polarised
24,2821,4.0,252,0.6153188273100265,0.329990691342992,transition
25,2826,4.166666666666667,247,0.6178953000809149,0.3043313133919723,transition
26,2831,4.333333333333333,247,0.6347092072840503,0.28894590203920617,transition
27,2836,4.5,248,0.6080967747891098,0.2980499514647772,transition
28,2841,4.666666666666667,249,0.6357144299502613,0.28093552215499645,transition
29,2846,4.833333333333333,251,0.6579980208579721,0.3601192759888354,transition
30,2851,5.0,253,0.6896404155665143,0.3667966413340673,transition
31,2856,5.166666666666667,256,0.6980427226271723,0.37708236091295533,transition
32,2861,5.333333333333333,258,0.6733591219580877,0.34144018290341366,polarised
33,2866,5.5,257,0.7011603260870647,0.40443169683287583,transition
34,2871,5.666666666666667,257,0.6872201367266985,0.3836832118703527,transition
35,2876,5.833333333333333,262,0.6868406394108079,0.42099301917493054,transition
36,2881,6.0,262,0.6856769747967041,0.44821253538216627,transition
37,2886,6.166666666666667,273,0.6675959755181492,0.4784612522828366,transition
38,2891,6.333333333333333,270,0.6540621558667835,0.4599859613960039,transition
39,2896,6.5,267,0.6815976065923834,0.5014305545078804,transition
40,2901,6.666666666666667,260,0.6415245513334777,0.4637994900605418,transition
41,2906,6.833333333333333,266,0.6789788678428901,0.47896320327540487,transition
42,2911,7.0,269,0.666593002795226,0.5112550324043785,transition
43,2916,7.166666666666667,266,0.6491590405691015,0.5300262100242651,transition
44,2921,7.333333333333333,264,0.646767756812148,0.48595645719483793,transition
45,2926,7.5,260,0.6494158183187486,0.54523169061175,transition
46,2931,7.666666666666667,267,0.6335014984525853,0.5218372650381671,transition
47,2936,7.833333333333333,266,0.6447445523987725,0.530468022265939,transition
48,2941,8.0,265,0.650929144918885,0.5361143294095688,transition
49,2946,8.166666666666666,258,0.6440359085603675,0.5504839808490594,transition
50,2951,8.333333333333334,258,0.6279463852757033,0.5396761405117123,transition
51,2956,8.5,256,0.6335651717658096,0.5191861542542632,transition
52,2961,8.666666666666666,263,0.6181982949715369,0.5410146129425545,transition
53,2966,8.833333333333334,264,0.6452277084935424,0.5148477091969941,transition
54,2971,9.0,269,0.5992181306368491,0.51736126375968,transition
55,2976,9.166666666666666,266,0.6218295660534302,0.500681376698585,transition
56,2981,9.333333333333334,263,0.6121684608134506,0.5106902714555343,transition
57,2986,9.5,261,0.6343345042596911,0.50214700025537,transition
58,2991,9.666666666666666,267,0.6737561045566032,0.4933878052618136,transition
59,2996,9.833333333333334,266,0.6477751619983428,0.5184699828797116,transition
60,3001,10.0,260,0.6639850397936075,0.459896202852734,transition
61,3006,10.166666666666666,253,0.6833281467029114,0.4872631422900016,transition
62,3011,10.333333333333334,258,0.6725702786484687,0.4862649188381382,transition
63,3016,10.5,264,0.6889708594273031,0.4622251557648098,transition
64,3021,10.666666666666666,265,0.65297236225867,0.4531330393951699,transition
65,3026,10.833333333333334,262,0.6545268776147459,0.464390913848934,transition
66,3031,11.0,262,0.6632034788926019,0.44231746702557456,transition
67,3036,11.166666666666666,260,0.6527909729231961,0.432139103310795,transition
68,3041,11.333333333333334,260,0.6430879988819908,0.4420987472786803,transition
69,3046,11.5,259,0.6197436323055793,0.4467457844836964,transition
70,3051,11.666666666666666,250,0.6275322814486101,0.45546030449909286,transition
71,3056,11.833333333333334,250,0.6474072188290866,0.4584173287197528,transition
72,3061,12.0,253,0.6665933088109831,0.44485513728458703,transition
73,3066,12.166666666666666,252,0.6607745031716078,0.47084141598706725,transition
74,3071,12.333333333333334,255,0.6690408198047831,0.4391587407511992,transition
75,3076,12.5,262,0.6343181511033693,0.4468527420075847,transition
76,3081,12.666666666666666,265,0.6121338722621594,0.46615800522718426,transition
77,3086,12.833333333333334,257,0.6293206542886235,0.4444548859887411,transition
78,3091,13.0,256,0.5721504170527313,0.48320750517077316,transition
79,3096,13.166666666666666,259,0.6138020409032382,0.45250137324884915,transition
80,3101,13.333333333333334,264,0.5681741803245828,0.46062665145202825,transition
81,3106,13.5,255,0.5567208306417787,0.49332547058017717,transition
82,3111,13.666666666666666,251,0.5648098692369646,0.500622828070926,transition
83,3116,13.833333333333334,253,0.582825865397969,0.4628005365193779,transition
84,3121,14.0,253,0.5868092925901701,0.4779142854575013,transition
85,3126,14.166666666666666,256,0.5234717907014956,0.4620173918421837,transition
86,3131,14.333333333333334,258,0.6125173382829937,0.47679556339465134,transition
87,3136,14.5,254,0.5455153280903905,0.4882624000854062,transition
88,3141,14.666666666666666,248,0.5139813082230696,0.48540068185793117,transition
89,3146,14.833333333333334,250,0.5035100929052175,0.4933467477865515,transition
90,3151,15.0,257,0.5067165183592673,0.5681707786755581,transition
91,3156,15.166666666666666,260,0.4906017335646264,0.5487250916515578,transition
92,3161,15.333333333333334,252,0.4891851013089149,0.5635741409323097,transition
93,3166,15.5,255,0.5021840260397851,0.5462518028729506,transition
94,3171,15.666666666666666,252,0.5445212334339833,0.5437540048374471,transition
95,3176,15.833333333333334,245,0.5050780465196231,0.5404153076424684,transition
96,3181,16.0,245,0.4810188127321402,0.575439649326828,transition
97,3186,16.166666666666668,248,0.5077180271228612,0.5728038151155412,transition
98,3191,16.333333333333332,251,0.49679046185065706,0.5742620413209626,transition
99,3196,16.5,253,0.5135258464309281,0.586799118434822,transition
100,3201,16.666666666666668,247,0.4721976068323482,0.5792457445224789,transition
101,3206,16.833333333333332,248,0.5250701496029991,0.6006121937231925,transition
102,3211,17.0,250,0.5367532313626484,0.5629405242736282,transition
103,3216,17.166666666666668,254,0.527011587426013,0.5989219884440129,transition
104,3221,17.333333333333332,256,0.5117488441767887,0.5360502116144822,transition
105,3226,17.5,258,0.5686364115927869,0.6011209289961684,transition
106,3231,17.666666666666668,247,0.4881582861633231,0.5474756900679677,transition
107,3236,17.833333333333332,252,0.5325710004427483,0.6093937068445624,transition
108,3241,18.0,246,0.5381676335342022,0.5923716795860758,transition
109,3246,18.166666666666668,254,0.4994333747587129,0.592288112938493,transition
110,3251,18.333333333333332,252,0.5090397313816772,0.6225894325601502,transition
111,3256,18.5,251,0.4817633936399034,0.6271022259417527,transition
112,3261,18.666666666666668,254,0.47835864201023937,0.6012947700558496,transition
113,3266,18.833333333333332,253,0.48475258450042386,0.6051194826408913,transition
114,3271,19.0,250,0.4058647297876807,0.6462990842175051,transition
115,3276,19.166666666666668,245,0.39460365702245104,0.6618613428165949,transition
116,3281,19.333333333333332,244,0.4159866294674394,0.6725789444205929,transition
117,3286,19.5,247,0.3930957765809822,0.6554658102356903,transition
118,3291,19.666666666666668,253,0.3383516365088541,0.6915372993620078,milling
119,3296,19.833333333333332,252,0.3853591167117585,0.6572691595976218,transition
120,3301,20.0,248,0.3295422320238507,0.692355162182082,milling
121,3306,20.166666666666668,254,0.35575651001360414,0.7105063633116527,transition
122,3311,20.333333333333332,258,0.3382508992280419,0.7077006800144046,milling
123,3316,20.5,254,0.3383961720463836,0.7406631713888834,milling
124,3321,20.666666666666668,250,0.3008080511781269,0.7053204927865852,milling
125,3326,20.833333333333332,255,0.28165792147891044,0.7154869513025969,milling
126,3331,21.0,251,0.29020915445858947,0.7064351746787441,milling
127,3336,21.166666666666668,250,0.2878588664117943,0.6849305605937178,milling
128,3341,21.333333333333332,250,0.25600131852172725,0.7119669514208854,milling
129,3346,21.5,250,0.2522232590457363,0.7490305041742245,milling
130,3351,21.666666666666668,255,0.19520945697268013,0.715056438619728,milling
131,3356,21.833333333333332,255,0.2067388905031705,0.7222729400278008,milling
